Unnamed: 0,author,statement,source,date,target,BinaryTarget,BinaryNumTarget,Fake,Real
77,Madison Czopek,Displaying the progress pride flag between two American flags during a White House pride event was “in breach of US Flag Code.”,Roger Marshall,"June 16, 2023",FALSE,FAKE,0,FAKE,
78,Andy Nguyen,“Pfizer funneled $12 million to CNN anchor Anderson Cooper as part of a deal to promote mRNA COVID jabs to the American public.”,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
79,Samantha Putterman,A Boston church burned during “a homosexual marriage” and there were no survivors.,TikTok posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
80,Ciara O'Rourke,Country singer Miranda Lambert is giving away “free belly melt kits.”,Facebook posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
81,Ciara O'Rourke,“The United Nations replaces all 193 country flags with LGBT flags.”,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
82,Ciara O'Rourke,The military arrested the administrator of the Small Business Administration.,Viral image,"June 16, 2023",pants-fire,FAKE,0,FAKE,
83,Gabrielle Settles,"""Silenciaron al Dr. Sebi"" por decir que ciertos vegetales ""son productos de laboratorio"".",Facebook posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
84,Ciara O'Rourke,Video shows an aide to former President Donald Trump “grilling” former President Barack Obama.,Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
85,Ciara O'Rourke,Photo shows former President Donald Trump “dancing with a 13-year-old girl” on Jeffrey Epstein’s private island.,Viral image,"June 15, 2023",FALSE,FAKE,0,FAKE,
86,Maria Briceño,"Este video muestra ""extraterrestres en Las Vegas captados por una cámara de seguridad"".",Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
87,Ciara O'Rourke,Video shows former President Donald Trump attacking the Clintons in 2023.,Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
88,Ciara O'Rourke,A photo shows Australian TV host David Koch being detained by police.,Viral image,"June 15, 2023",FALSE,FAKE,0,FAKE,
89,Marta Campabadal,This video shows a cartel member in Mexico carrying a Javelin that the U.S. sent to Ukraine.,TikTok posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
90,Ciara O'Rourke,Former President Donald Trump rescued deformed children who were born into sex slavery in tunnels under Central Park in New York.,Instagram posts,"June 14, 2023",pants-fire,FAKE,0,FAKE,
91,Tom Kertscher,"Smoke that covered New York, New Jersey and Connecticut after the Canadian wildfires “was a planned operation in geoengineering.”",Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
92,Sara Swann,“A Ukrainian tank uses a house as camouflage.”,Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
93,Ciara O'Rourke,Gabby Petito’s last text to her mother included an acronym for “Send The Authorities Now.”,Facebook posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
94,Ciara O'Rourke,“Mel Gibson has announced he has been secretly working on a 4 part docu series exposing the 34 billion dollar global child sex trafficking trade.”,Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
95,Ciara O'Rourke,Recent wildfires in Canada were simultaneously ignited using weapons.,Facebook posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
96,Loreben Tuquero,“The White House Gift Shop is putting out a commemorative coin for Donald Trump's indictment.”,Bill Cassidy,"June 13, 2023",half-true,REAL,1,,REAL
97,Ciara O'Rourke,Video shows an aide to U.S. Rep. Nancy Pelosi snapping at former U.S. Rep. Trey Gowdy.,Facebook posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
98,Ciara O'Rourke,Recent wildfires in California were planned to clear land for a high-speed rail system.,Instagram posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
99,Sara Swann,“They are trying to throw Trump in jail for the rest of his life for having a couple dozen documents that he had authority to declassify.”,Instagram posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
100,Sarah Bahari,"Barack Obama said that Iran has a “right” to nuclear technology, including weapons.",Ted Cruz,"June 13, 2023",barely-true,FAKE,0,FAKE,
101,Gabrielle Settles,"Trump ""hasn't been 'indicted.' It's all part of the Operation.”",Facebook posts,"June 13, 2023",pants-fire,FAKE,0,FAKE,
102,Ciara O'Rourke,"Video shows U.S. Rep. Jim Jordan asking U.S. Rep. Jerry Nadler, “What are you hiding?”",Facebook posts,"June 12, 2023",FALSE,FAKE,0,FAKE,
103,Amy Sherman,Donald Trump “never changed one immigration law.”,Chris Christie,"June 12, 2023",mostly-true,REAL,1,,REAL
104,Samantha Putterman,"Photo of woman in Team Trump attire is Aileen Cannon, the Trump-appointed judge presiding over the classified documents case.",Tweets,"June 12, 2023",FALSE,FAKE,0,FAKE,
105,Grace Abels,Las personas atraídas a los menores de edad “ya tienen su bandera del orgullo”.,TikTok posts,"June 12, 2023",FALSE,FAKE,0,FAKE,
106,Ciara O'Rourke,Video shows cattle killed by COVID-19 vaccines.,Viral image,"June 12, 2023",FALSE,FAKE,0,FAKE,
107,Loreben Tuquero,"“Hundreds of thousands of innocent people died” from taking the drug azidothymidine, or AZT.",Instagram posts,"June 9, 2023",FALSE,FAKE,0,FAKE,
108,Ciara O'Rourke,“There is no war in Ukraine.”,Facebook posts,"June 9, 2023",pants-fire,FAKE,0,FAKE,
109,Ciara O'Rourke,Video shows Elon Musk and Jack Ma presenting “a new software called ‘Quantum AI.’”,Facebook posts,"June 9, 2023",FALSE,FAKE,0,FAKE,
110,Ciara O'Rourke,“Publix drops Ben and Jerry’s ‘for the good of our kids.’”,Bloggers,"June 9, 2023",FALSE,FAKE,0,FAKE,
111,Ciara O'Rourke,"“Cocaine, porn, evidence of child trafficking found in (Gov. Gretchen) Whitmer’s car.”",TikTok posts,"June 9, 2023",pants-fire,FAKE,0,FAKE,
112,Maria Ramirez,"“A place like California, they give (immigrants in the country illegally) benefits. They give unemployment checks.”",Ron DeSantis,"June 9, 2023",half-true,REAL,1,,REAL
113,Gabrielle Settles,"“Italy announced they are changing LGBT Pride month to Family Pride Month,” in order to “celebrate traditional families.”",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
114,Louis Jacobson,“The family separation policy actually began under the Obama administration.”,Mike Pence,"June 8, 2023",FALSE,FAKE,0,FAKE,
115,Marta Campabadal,"Video muestra un arresto de ""inmigrantes en Florida"".",Facebook posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
116,Ciara O'Rourke,"“Military, Trump thwart deep state blackout.”",Facebook posts,"June 8, 2023",pants-fire,FAKE,0,FAKE,
117,Ciara O'Rourke,Footage shows Canada’s wildfires were “planned.”,Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
118,Grace Abels,"A movement representing ""minor attracted people"" has adopted a flag that is being integrated into LGBTQ+ advocacy.",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
119,Loreben Tuquero,"President Joe Biden showed signs of cognitive decline when he walked away from an Air Force Falcons presentation with a jersey, snubbing a signed football and helmet.",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
120,Sara Swann,The wildfires in Canada were planned.,TikTok posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
121,Gabrielle Settles,“An 11-year-old boy saved the lives of two people on the same day.”,Instagram posts,"June 7, 2023",TRUE,REAL,1,,REAL
122,Samantha Putterman,"Amazon’s “Utopia” TV series predicted the COVID-19 pandemic and an intentional effort to sterilize humans, showing the pandemic was planned.",TikTok posts,"June 7, 2023",pants-fire,FAKE,0,FAKE,
123,Madeline Heim,The COVID vaccine “has been proven to have negative efficacy.”,Ron Johnson,"June 7, 2023",FALSE,FAKE,0,FAKE,
124,Gabrielle Settles,"Jamie Foxx tras una coagulación de sangre en el cerebro ""habría quedado ciego y paralizado"" debido a una ""dosis de vacuna contra el coronavirus"".",Facebook posts,"June 7, 2023",FALSE,FAKE,0,FAKE,
125,Madison Czopek,"“New tapes” of Nancy Pelosi show that the Jan. 6, 2021, attack on the U.S. Capitol “was all planned.”",Benny Johnson,"June 6, 2023",FALSE,FAKE,0,FAKE,
126,Loreben Tuquero,Photos show Target selling children’s clothing with satanic imagery.,Facebook posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
127,Maria Briceño,"Disney ""acaba de publicar"" que no puedes entrar a sus parques en Florida y California ""sin que tus hijos reconozcan que no le pueden llamar a un niño él o ella"".",Facebook posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
128,Sara Swann,Texas Attorney General Ken Paxton was “caught on tape saying he discarded 2.5 million mail-in ballots in Texas.”,TikTok posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
129,Tom Kertscher,Boiling tap water causes fluoride in the water to be “more toxic.”,Facebook posts,"June 6, 2023",pants-fire,FAKE,0,FAKE,
130,Sevana Wenn,The average amount of assistance for the Supplemental Nutrition Assistance Program is $6 a day.,Pramila Jayapal,"June 6, 2023",mostly-true,REAL,1,,REAL
131,Louis Jacobson,"Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""",Nikki Haley,"June 6, 2023",FALSE,FAKE,0,FAKE,
132,Loreben Tuquero,"In a simulation, an AI-enabled drone operated by the U.S. Air Force killed its operators and “started taking out communication towers.”",Instagram posts,"June 5, 2023",FALSE,FAKE,0,FAKE,
133,Maria Ramirez,"Donald Trump ""wanted to amnesty 2 million illegal aliens in 2018 when he was president.""",Ron DeSantis,"June 5, 2023",mostly-true,REAL,1,,REAL
134,Gabrielle Settles,“Jamie Foxx left ‘paralyzed and blind’ from blood clot in his brain” after a COVID-19 vaccine injection.,Charlie Kirk,"June 5, 2023",FALSE,FAKE,0,FAKE,
135,Julie Appleby,"""Americans will get $1.1 B in rebates from health insurance companies this year cuz of a provision I wrote in the ACA.”",Al Franken,"June 5, 2023",mostly-true,REAL,1,,REAL
136,Grace Abels,"The blue, pink, and white colors in the progress pride flag represent pedophiles",Facebook posts,"June 2, 2023",pants-fire,FAKE,0,FAKE,
137,Jeff Cercone,"""The European Union is now warning pregnant women not to get the COVID-19 vaccine due to the possibility of infertility and miscarriage.”",Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
138,Loreben Tuquero,Photos show “Elon Musk and his company are in the final stages of making a Robot Wife.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
139,Louis Jacobson,"""Every study has shown” that when work requirements are tied to federal safety-net programs, “it puts more people to work.”",Kevin McCarthy,"June 1, 2023",barely-true,FAKE,0,FAKE,
140,Tom Kertscher,"The U.S. ""takes 87% of all the prescription medications in the world.""",Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
141,Gabrielle Settles,Video shows boxes of books removed from a middle school library that were “banned by the DeSantis regime in Florida.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
142,Maria Briceño,La guanábana “es considerada como la quimioterapia natural”.,Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
143,Jeff Cercone,30 tons of lost ammonium nitrate on a California-bound train suggest an orchestrated conspiracy.,Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
144,Sara Swann,Pop-Tarts and other foods “have antifreeze in them.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
145,Vanessa Swales,On exceptions to Wisconsin's abortion ban,Derrick Van Orden,"June 1, 2023",half-flip,FAKE,0,FAKE,
146,Tom Kertscher,"Video shows officials in Maricopa County, Arizona, ""illegally breaking into"" voting machines.",Instagram posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
147,Matthew Crowley,“There's not been a single book banned in the state of Florida.”,Ron DeSantis,"May 31, 2023",FALSE,FAKE,0,FAKE,
148,Loreben Tuquero,"Chick-fil-A “just hired a VP of Diversity, Equity and Inclusion.”",Tweets,"May 31, 2023",FALSE,FAKE,0,FAKE,
149,Grace Abels,Roseanne Barr made a video of a rainbow in a sprinkler questioning 'what the heck is in our water supply.',TikTok posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
150,Samantha Putterman,“Arizona BANS Electronic Voting Machines.”,Facebook posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
151,Madison Czopek,"""Si trabajaste en el año 2020 puede ser que te deban muchísimo dinero” a través de un “crédito que está activo hasta ahora”.",Facebook posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
152,Jeff Cercone,“Miami-Dade County has banned” Amanda Gorman’s poem “from elementary schools.”,Instagram posts,"May 31, 2023",barely-true,FAKE,0,FAKE,
153,Andy Nguyen,A chart on Arctic sea ice provides evidence that Al Gore was wrong when he said in 2009 that the north polar ice cap would lose all of its ice “within the next five to seven years.”,Alex Epstein,"May 31, 2023",half-true,REAL,1,,REAL
154,Gabrielle Settles,"""F.ight BREAKS as C.omer SHUTS UP Biden's lawyer with B0MBSHELL.""",Facebook posts,"May 31, 2023",pants-fire,FAKE,0,FAKE,
155,Madison Czopek,House Speaker Kevin McCarthy called for the immediate “expulsion and prosecution of Rep. Adam Schiff for committing crimes of treason against the United States.”,Instagram posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
156,Maria Briceño,Says Ron DeSantis said Puerto Rico’s flag can’t be displayed in Florida.,TikTok posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
157,Loreben Tuquero,"Rep. Eric Swalwell, D-Calif., is facing charges after “lying” to Rep. Jim Jordan, R-Ohio.",Facebook posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
158,Loreben Tuquero,Video shows Rep. Nancy Pelosi being arrested.,Instagram posts,"May 30, 2023",pants-fire,FAKE,0,FAKE,
159,Maria Briceño,"""Estelas de aviones ... están modificadas con químicos por gobiernos poderosos para enfermar a las personas con fines económicos manipulativos y de reducción de la población"".",Facebook posts,"May 30, 2023",pants-fire,FAKE,0,FAKE,
160,Marta Campabadal,"Estas imágenes tomadas ""con 100 años de diferencia"" muestran que el nivel del mar no ha subido.",Facebook posts,"• May 30,",FALSE,FAKE,0,FAKE,
161,Tom Kertscher,"Electric vehicles are a ""giant computer that can be controlled remotely from some cloud-based central grid.""",Facebook posts,"May 26, 2023",barely-true,FAKE,0,FAKE,
162,Andy Nguyen,“Adam Schiff just got served” with a $16 million fine for Russia collusion investigation.,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
163,Gabrielle Settles,"Says Bill Gates visited Jeffrey Epstein’s Island ""37 times.""",Instagram posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
164,Loreben Tuquero,“50 U.S. politicians who received satellite phones were taken to an undisclosed government bunker facility to ensure a Continuation of Government.”,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
165,Maria Ramirez,“Ron DeSantis voted against the wall.”,MAGA Inc,"• May 26,",barely-true,FAKE,0,FAKE,
166,Sara Swann,"""1,000,000 Ukraine soldiers wiped out”",Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
167,Gabrielle Settles,"“If you shopped at Walmart in 2022, you could be entitled to a $500 refund!”",Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
168,Madison Czopek,North Korean leader Kim Jong-un “just ordered the evacuation of the capital city.”,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
169,Louis Jacobson,"Said he was “able to convince India, Australia, Japan, and the United States to form an organization called the Quad to maintain stability in the Indian Ocean and the South China Sea.""",Joe Biden,"May 26, 2023",barely-true,FAKE,0,FAKE,
170,Jeff Cercone,U.S. destroyer recently fired at an armed Iranian ship.,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
171,Loreben Tuquero,A list shows violent crimes in Los Angeles that “people will be set free on as of today.”,Instagram posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
